aX,aY,aZ
8,-10,29
9,-6,44
14,-5,38
15,1,40
9,3,35
3,-1,35
-3,3,15
3,7,-2
6,10,-14
-2,11,-23
-9,9,-25
7,9,-26
9,-1,-37
-2,-1,-53
1,-5,-65
-19,-7,-75
-32,-12,-91
43,-33,-57
-114,-11,-84
-56,-20,-55
-56,-11,-38
-10,-5,2
-11,-9,11
-2,-4,-16
-7,5,-6
-7,5,-6
-11,0,2
-7,-5,13
-6,-4,20
1,-2,18
0,-4,12
-2,-3,2
18,0,3
12,1,7
14,12,26
11,17,37
2,16,42
10,19,35
9,14,22
19,14,10
8,10,11
17,15,18
14,12,28
9,16,36
14,18,40
14,17,29
29,20,18
22,12,15
21,10,11
13,8,15
12,6,19
17,12,10
4,7,10
-2,7,2
2,1,-2
-5,-5,-2
-5,-5,0
-4,-3,-6
-6,-8,-11
-9,-11,-12
-9,-11,-11
-11,-11,-7
-9,-9,-10
-4,-11,-11
-8,-6,-12
-5,-4,-12
-2,-3,-7
-2,-3,-7
-6,-5,-4
-3,-4,-1
-1,-4,-1
-2,-1,1
-1,1,2
-1,1,0
1,1,-3
-1,-2,-2
-1,-1,1
2,2,3
0,3,3
2,3,4
0,3,0
1,2,0
-1,0,-1
1,0,1
-2,0,-1
-1,-1,-1
0,-2,1
0,1,-1
0,-1,3
0,1,3
3,0,-3
-2,0,0
0,-4,0
-1,-1,-2
-2,-2,2
0,1,1
2,2,1
0,3,-1
0,-1,1
0,1,-1

11,-2,39
10,7,36
9,14,44
7,14,49
6,6,46
9,9,30
5,8,21
9,10,10
10,9,9
10,10,1
-5,-8,-25
15,-24,-77
-4,-33,-85
-30,-44,-110
-40,-42,-108
-46,-42,-90
-49,-31,-65
-41,-11,-49
-28,-6,-33
-10,-1,-16
-16,12,-26
-21,6,-9
5,5,5
-26,-2,6
-22,-5,2
-27,-9,-2
-7,-10,-6
-8,-10,0
-6,-9,6
0,-6,17
0,0,23
13,12,34
20,17,31
22,21,30
20,22,29
23,21,27
21,20,32
26,18,41
17,27,48
15,29,44
26,20,25
4,11,10
-40,-25,-15
31,-1,7
-19,-29,-1
47,8,37
26,16,29
0,-6,32
-7,-12,14
-10,-9,1
3,-4,-8
10,-1,-1
8,7,-5
7,8,-6
1,3,0
1,1,2
-1,-5,-2
-2,-6,-5
0,-5,-7
-1,-8,-9
-6,-7,-8
-6,-8,-10
-4,-6,-8
-4,-6,-7
-4,-2,-3
-2,1,-2
3,4,-2
2,2,-2
2,5,-4
0,4,-3
1,1,-5
-4,-3,-3
-4,-3,-6
-3,1,3
1,2,1
2,1,-1
1,2,-2
1,2,1
1,1,2
0,2,2
1,-1,3
1,0,-3
0,-1,-3
1,-2,-1
0,1,1
2,2,3
2,3,2
1,1,-2
-1,-2,-3
0,-2,1
-2,-2,1
0,0,-2
-2,-4,-1
-1,-3,1
0,0,1
-2,1,1
3,3,0
0,2,-2
2,2,1
0,-1,-3

6,-2,40
3,-1,53
12,4,63
24,9,52
24,22,29
21,29,11
17,25,-5
12,14,-9
-1,11,-15
-5,-2,-22
-15,-18,-42
-19,-25,-57
-15,-28,-60
-25,-25,-61
-24,-23,-52
-26,-20,-54
-28,-17,-56
-27,-22,-53
-14,-18,-56
-30,-12,-59
-34,-10,-28
-32,-2,0
-28,4,13
-23,7,12
-15,3,7
-13,0,3
-3,-2,1
-2,-4,-4
2,-2,2
2,-1,10
12,6,20
10,8,23
15,13,30
14,12,33
18,14,35
24,16,27
24,16,23
23,14,22
20,17,27
19,13,32
27,19,33
16,17,34
7,13,33
15,5,29
9,2,14
6,-5,-1
7,-7,-4
10,-7,-1
6,1,6
-4,1,10
-1,-1,9
-2,-3,8
-3,-4,1
2,-5,1
3,-2,2
2,0,-3
1,3,-8
-3,0,-12
-8,-5,-9
-5,-7,-9
-6,-6,-9
-5,-8,-12
-6,-7,-9
-6,-8,-9
-3,-3,-8
-3,-5,-12
-6,-4,-12
-6,-3,-7
-2,-2,-5
0,0,1
-1,0,4
0,2,3
1,6,4
4,4,-2
1,2,-4
0,0,0
-1,-2,2
-2,-2,3
-1,-2,1
2,1,0
1,2,3
2,4,3
3,3,-1
1,1,2
3,4,1
0,-4,-2
-2,-1,2
-1,0,2
-2,-3,3
-1,0,-3
-3,-4,-1
1,0,1
2,1,0
2,4,0
2,-1,-1
-3,-1,-2
-2,-5,-2
0,0,1
1,-1,1
0,1,-1

7,2,39
5,-2,53
19,-7,59
21,2,50
23,19,34
32,29,18
25,31,11
20,23,4
2,15,-10
-11,-4,-31
-10,-22,-81
-17,-31,-87
-32,-53,-87
-31,-18,-76
-27,-16,-68
-26,-13,-52
-27,-7,-41
-30,-2,-30
-24,1,-27
-21,6,-22
-26,1,-13
-26,-5,-12
-26,-10,-4
-23,-17,-4
-23,-21,-4
-8,-18,-1
-13,-15,1
-7,-5,11
2,-2,19
6,3,18
13,10,23
19,13,23
19,18,23
23,18,20
24,17,18
22,14,20
28,13,18
33,12,20
26,13,25
20,15,40
13,16,46
19,19,36
24,20,16
18,17,10
25,5,11
10,2,17
2,-10,27
-10,-13,27
8,-11,25
-11,-1,8
-7,-4,-4
-2,-6,-8
0,-5,-11
0,2,-9
-2,4,-6
-1,4,-9
-10,-2,-8
-12,-10,-10
-9,-13,-18
-11,-13,-18
-7,-11,-13
-7,-7,-13
-3,-6,-7
-3,-2,-8
-3,-2,-6
-2,-1,0
-2,2,0
-3,-1,1
-3,2,0
1,1,0
-1,2,0
1,1,2
1,2,4
0,2,1
0,2,0
2,2,1
2,4,-1
1,5,-2
3,3,-2
2,2,-2
0,0,0
1,0,2
1,0,0
-1,2,-1
-2,-2,-2
-1,-1,1
1,1,0
0,-2,0
-1,-1,1
1,2,0
0,1,1
1,1,1
-1,0,0
1,-1,0
1,1,2
2,3,1
1,-2,1
-2,-2,2
0,2,-1
1,0,-1

3,-6,48
1,-20,59
7,-9,68
11,9,59
24,22,39
19,33,7
18,29,-17
11,21,-29
6,8,-38
-6,-6,-33
-8,-15,-36
-19,-28,-55
-16,-31,-61
-29,-34,-71
-32,-32,-74
-18,-23,-75
-23,-12,-65
-21,-2,-70
-27,-6,-52
-33,-8,-26
-23,5,-3
-19,6,-1
-17,2,-3
-16,-6,-1
-11,-8,3
-6,-5,5
-1,-2,8
3,2,12
9,4,16
14,9,24
22,12,30
25,15,31
23,17,32
22,14,38
23,14,45
24,17,42
27,16,37
31,16,28
24,16,33
22,16,36
13,17,29
12,12,38
10,5,26
5,-3,5
-3,-24,1
-23,-26,-1
-25,-28,4
-14,-15,1
0,-4,-2
9,6,-5
9,18,3
10,14,-7
-2,4,-20
-2,-6,-26
-10,-10,-21
-9,-13,-14
-7,-12,-11
-10,-7,-10
-8,-8,-6
-6,-8,-4
-6,-5,-7
-1,-2,-7
-2,4,-5
-1,7,-3
1,8,0
0,6,-1
1,4,0
1,3,-1
-2,3,3
-2,0,4
1,2,-1
1,2,1
1,3,-1
1,1,-2
2,-1,-3
0,-2,0
-1,-4,1
-1,-2,1
-2,0,-1
-1,-1,2
0,0,3
-1,2,1
2,-2,-1
-1,-1,-2
0,-2,1
0,-2,0
1,-1,-2
-1,0,-2
0,0,1
0,0,5
2,2,3
0,1,0
-1,0,-1
0,-4,0
-1,0,-1
-3,-4,1
2,1,0
0,1,1
0,1,1
0,1,1

11,-15,41
19,-33,70
19,-17,81
28,13,90
30,43,94
34,52,76
32,31,33
15,11,-27
-4,-14,-92
3,-29,-127
-37,-40,-127
-39,-24,-125
-42,-30,-95
-36,-21,-68
-32,-13,-46
-28,-4,-44
-20,4,-56
-30,11,-46
-32,13,-22
-32,7,7
-27,2,8
-19,-2,7
-10,-7,0
-7,-11,3
-6,-13,16
0,-9,23
1,-6,27
9,1,22
12,1,22
17,2,27
21,6,31
23,3,34
27,11,34
27,7,41
33,10,46
36,22,55
19,29,59
22,34,53
23,39,33
10,13,10
8,-9,-1
16,-22,-13
4,-21,-2
-4,-18,13
-12,-3,17
-14,7,18
0,7,11
4,6,-1
-3,-4,-9
1,5,-13
1,8,-7
-6,2,-7
-9,-5,-11
-13,-16,-14
-11,-16,-14
-9,-15,-11
-7,-11,-11
-4,-4,-10
-2,-2,-7
0,0,-5
2,3,-2
-1,-2,1
-2,0,1
-4,0,-2
-4,-3,1
0,-1,2
-1,1,-2
2,2,-6
-4,1,-3
-1,1,2
0,1,2
1,5,0
0,3,-1
2,0,-3
-1,0,-2
-2,1,-1
0,0,-1
-1,-1,1
0,-1,-2
0,1,0
-1,0,1
1,0,-1
1,0,-1
0,1,-1
-2,-2,0
0,-2,2
-1,-1,0
1,0,3
0,-1,2
1,1,-1
-1,2,1
-1,1,3
2,-1,1
3,1,-1
-1,1,-3
7,1,-1
0,-2,-1
0,0,1
1,-1,3
0,0,3

10,-13,32
9,-13,53
7,-2,78
17,5,92
25,25,64
19,38,24
18,30,-4
11,12,-26
6,3,-42
0,-4,-53
-9,-14,-64
-10,-21,-70
-20,-25,-78
-34,-31,-84
-32,-19,-79
-19,-21,-65
-24,-20,-55
-28,-11,-45
-26,-3,-37
-19,4,-33
-30,9,-28
-25,7,-11
-24,2,7
-17,5,13
-12,3,6
-7,-1,4
-6,-1,6
0,-1,10
0,0,18
2,2,19
8,1,15
11,2,15
8,0,25
13,5,30
11,4,29
17,7,24
15,7,23
10,10,29
19,6,30
20,4,22
24,7,26
15,12,34
19,13,35
10,20,31
10,29,22
14,19,20
9,1,4
13,-17,-5
10,-22,-8
2,-22,1
-1,-17,13
-5,3,20
3,7,19
4,17,9
13,14,4
7,13,2
2,12,-1
0,3,-8
-4,-4,-10
-9,-9,-11
-16,-15,-13
-12,-15,-16
-8,-11,-16
-5,-7,-14
-3,-3,-11
-2,-1,-10
-4,0,-12
0,-1,-8
-3,-1,-9
-2,-2,-4
-2,-1,-1
-2,1,1
-1,0,4
-1,1,4
1,2,4
3,2,3
2,2,0
-1,2,1
-1,2,-2
1,1,-1
2,-1,-2
1,-1,-3
-2,2,-4
-1,-2,1
3,2,2
-1,-1,0
0,0,0
0,1,2
2,1,1
0,1,-1
1,-1,0
-3,-2,0
-1,-2,-2
-4,-4,-2
-3,-3,3
-6,2,2
3,3,-1
1,2,3
4,3,0
0,2,2

4,-4,48
1,-14,71
5,-8,82
14,2,87
27,37,73
46,50,48
26,38,2
15,21,-36
9,-10,-58
-11,-13,-68
-18,-34,-70
-14,-36,-73
-8,-35,-81
-5,-32,-90
-13,-28,-92
-25,-20,-79
-30,-15,-64
-34,-9,-50
-30,-7,-61
-65,-9,-48
4,8,-44
-24,-2,-17
-17,0,-7
-16,1,2
-15,-6,19
-9,-6,25
-4,0,33
2,4,34
10,6,36
17,9,34
27,14,42
28,14,48
26,14,55
21,16,63
22,15,60
17,19,64
25,29,60
12,34,61
6,29,45
11,28,29
10,10,-4
6,-6,-2
3,-13,0
-3,-14,-2
-5,-11,-4
-6,-6,0
-6,-7,-3
-10,-8,-4
-3,-10,-5
-1,-10,-5
-2,-3,-11
-3,-5,-9
-3,-1,-7
-2,-3,-5
-6,-1,-5
-3,-2,-5
-1,-5,-8
-4,-4,-11
-5,-2,-9
0,-1,-7
-2,-2,-6
0,-1,-3
-1,-3,0
-3,-1,3
-2,-2,4
-2,1,1
0,-1,-1
0,1,0
1,2,-1
-1,3,0
-1,0,-5
1,0,-4
1,-1,-4
-1,0,1
-1,0,2
1,0,-3
-1,-1,-4
-1,-1,-1
-2,-2,2
1,0,0
-2,-3,4
-1,-2,-1
-1,-2,0
0,-1,1
0,2,-1
0,-2,2
-1,0,4
0,0,-1
1,-1,1
-1,-1,2
0,1,1
2,1,-1
1,2,0
0,2,1
0,-2,-3
-2,-3,0
-1,-1,0
-1,-1,2
1,-1,-1
0,0,2

15,-15,44
29,-26,80
48,-32,111
50,18,116
48,69,102
21,90,67
9,69,18
2,25,-47
-5,-12,-97
-16,-36,-120
-25,-57,-116
-22,-45,-104
-17,-34,-91
-24,-27,-78
-21,-20,-71
-24,-6,-55
-28,4,-41
-29,6,-50
-36,7,-56
-29,8,-43
-50,-9,-7
-43,-7,13
-33,-13,24
-23,-10,21
-16,-10,15
-2,-4,10
3,-3,13
8,6,21
14,10,31
15,17,35
12,16,31
14,10,31
18,6,28
19,6,26
27,4,30
23,9,44
24,17,49
15,29,54
21,24,37
6,14,20
12,3,6
13,-2,2
15,-3,3
24,-6,11
10,2,14
1,10,14
-9,10,12
-15,0,7
-14,-8,0
4,-20,-13
6,-14,-11
7,-3,-2
0,7,4
-1,11,5
-5,9,1
-6,-2,-2
-8,-8,-9
-5,-12,-14
2,-14,-12
5,-10,-6
3,4,11
1,9,8
0,6,9
-2,2,-1
-4,-3,-4
0,-5,-11
1,-5,-11
-3,-4,-10
-2,-2,-6
-2,2,-3
-3,-1,-2
-1,1,-4
-1,1,-4
-1,0,-6
-1,0,-4
-1,0,-3
-1,-2,-5
1,-2,-3
-1,0,-1
-1,2,6
0,3,3
1,2,2
2,-1,1
1,2,0
2,2,-2
0,2,0
0,0,2
0,-1,2
-1,0,-2
-2,-1,2
-1,1,2
0,0,-3
0,-1,0
0,-2,-4
1,-1,-1
1,1,2
-1,1,-1
0,2,1
1,-1,3
-1,0,-1

7,-14,32
23,-20,52
32,-31,83
28,-1,96
35,33,84
38,53,76
21,49,42
-4,30,9
-13,8,-39
-14,-12,-74
-6,-37,-107
-10,-34,-97
-19,-25,-95
-14,-27,-84
-12,-19,-75
-16,-9,-65
-17,-2,-54
-22,1,-59
-13,6,-77
-39,8,-64
-44,10,-29
-50,6,7
-40,4,20
-32,-5,18
-19,-12,7
-9,-14,2
-1,-18,1
1,-14,13
8,-9,22
11,5,45
13,13,44
15,12,39
16,7,34
17,5,29
23,2,27
25,2,33
20,3,45
22,10,48
18,13,54
10,14,46
11,14,36
13,13,29
16,8,17
20,1,15
6,4,17
-4,2,11
-1,7,5
-2,5,0
-4,2,-13
-5,-3,-15
-7,-13,-8
-8,-14,-1
1,-8,2
-3,3,2
-1,8,2
1,9,-2
1,8,-6
-2,4,-10
-2,-4,-14
-4,-8,-14
-4,-12,-12
-5,-10,-8
-4,-5,-2
-3,-4,-2
-2,-2,-1
-1,2,0
3,2,-2
1,5,-1
2,2,-3
-2,1,-3
-3,0,-4
-2,-3,-2
0,-1,0
-1,-1,2
0,2,0
1,4,1
1,4,1
4,2,-1
3,1,-1
-1,1,-3
-3,0,-3
-1,-1,1
0,-2,-1
-2,-1,2
1,1,1
0,3,-1
2,2,0
0,2,0
0,-1,1
-1,1,0
0,-2,-2
-2,0,0
-1,-1,1
0,-1,2
-1,0,1
2,2,1
1,1,0
1,2,1
-1,0,-1
0,-1,-1

